relationship_id,scope_coded,region,ethnography_group,entity_a,entity_b,entity_a_canonical,entity_b_canonical,entity_a_type,entity_b_type,relation_type_coded,symmetry_coded,relation_labels,local_terms,supporting_quote_raw,confidence_mean,confidence_max,n_assertions,n_source_docs,source_docs,assertion_ids,joking_source
420,within_group,CentralAfrica,Azande,blood-brothers,blood-brothers,blood-brothers,blood-brothers,kin_role,kin_role,insulting_license,symmetric,licence to chaff,,"Evans-Pritchard, 16, 1933; blood-brothers have licence, which is not permitted to others, to chaff each other freely in this way.",0.85,0.85,1,1,/Azande_Baxter_1953_17_KS,420,ehraf_v2
421,within_group,CentralAfrica,Azande,blood-brothers,blood-brothers,blood-brothers,blood-brothers,kin_role,kin_role,joking_relationship,symmetric,,,"The behaviour which blood-brothers are expected to assume towards each other is the opposite of that required towards kin and in-laws, and they stand to each other in a sort of joking relationship. They abuse each other with impunity, saying things that would normally be considered causes of deep quarrels.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,421,ehraf_v2
422,within_group,CentralAfrica,Azande,bakulemi,bakulemi,bakulemi,bakulemi,clan,clan,joking_relationship,symmetric,,bakulemi,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.85,0.85,1,1,/Azande_Baxter_1953_76_KS,422,ehraf_v2
423,within_group,CentralAfrica,Azande,Abanvra,Abangombi,Abanvra,Abangombi,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,423,ehraf_v2
424,within_group,CentralAfrica,Azande,Abanvra,Akalinga,Abanvra,Akalinga,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,424,ehraf_v2
425,within_group,CentralAfrica,Azande,Abanvra,Agiti,Abanvra,Agiti,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,425,ehraf_v2
426,within_group,CentralAfrica,Azande,Abangombi,Akalinga,Abangombi,Akalinga,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,426,ehraf_v2
427,within_group,CentralAfrica,Azande,Abangombi,Agiti,Abangombi,Agiti,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,427,ehraf_v2
428,within_group,CentralAfrica,Azande,Akalinga,Agiti,Akalinga,Agiti,clan,clan,joking_relationship,symmetric,permanent joking relationship,,"In a modified form this joking relationship is extended to clansmen, known as bakulemi; and between certain clans, such as the Abanvra, Abangombi, Akalinga, and Agiti, a permanent joking relationship has grown up.",0.9,0.9,1,1,/Azande_Baxter_1953_76_KS,428,ehraf_v2
429,within_group,CentralAfrica,Azande,blood-brother,blood-brother,blood-brother,blood-brother,kin_role,kin_role,joking_relationship,symmetric,Humor partners,Humor,"“The pattern of behaviour between blood-brothers is one of intimacy and equality. One way in which intimacy and equality are expressed between the Humor partners is by each publicly insulting the other.... Thus one will shout to the other: ‘Ai friend! may they cut into your witchcraft! You are witches, you of the Akalinga clan! ’ To which the blood-brother replies: ‘He! may some one spear you! who told you that we are witches, my friend? You’ve just had a good meal over there so you come on a full stomach to pick a quarrel with me without cause. That’s a bad joke; you’re a nasty sly fellow.’",0.9,0.9,1,1,/Azande_EvansPrittchard_1933_390-392a_KS,429,ehraf_v2
430,within_group,CentralAfrica,Azande,that blood-brother of mine,this elder brother of his father,that blood-brother of mine,this elder brother of his father,kin_role,kin_role,joking_relationship,unclear,blood-jests,,"He passes on to see this elder brother of his father and says to him: ‘Father, it is you I have come to see because that fellow over there, that blood-brother of mine, said yesterday that you were dead. ’",0.7,0.7,1,1,/Azande_EvansPrittchard_1933_390-392b_KS,430,ehraf_v2
431,within_group,CentralAfrica,Azande,some one with whom you are on joking terms,your relative,some one with whom you are on joking terms,your relative,group,kin_role,joking_relationship,symmetric,blood-jests,,"‘It is thus they say about jests of this kind: if some one with whom you are on joking terms comes with a long sad face to tell you some story about your relatives such as ‘Don’t you know that your relative has died?’ you should take care not to be caught. He is jesting about your relative saying that he is dead, and you must not be taken in. Blood-jests, they say, are awful lies.'",0.85,0.85,1,1,/Azande_EvansPrittchard_1933_390-392b_KS,431,ehraf_v2
432,within_group,CentralAfrica,Azande,Abauura,Abangombi,Abauura,Abangombi,clan,clan,joking_relationship,symmetric,Joking Relationship,,"As the behaviour pattern between blood-brothers is extended to the members of their clans, an extension discussed in the following section, a ‘Joking Relationship’ may grow up between two clans who may insult one another with impunity. I do not think that this [ ] is common in Zandeland, but it appears to happen sometimes, as, for example, between the Abauura and the Abangombi,",0.9,0.9,1,1,/Azande_EvansPrittchard_1933_390-392c_KS,432,ehraf_v2
433,within_group,CentralAfrica,Azande,Akalinga,Agiti,Akalinga,Agiti,clan,clan,joking_relationship,symmetric,Joking Relationship,,"As the behaviour pattern between blood-brothers is extended to the members of their clans, an extension discussed in the following section, a ‘Joking Relationship’ may grow up between two clans who may insult one another with impunity. I do not think that this [ ] is common in Zandeland, but it appears to happen sometimes, as, for example, between the Abauura and the Abangombi, the Akalinga and the Agiti, and in one or two other instances, who jest in this manner without offence being taken by either party,",0.9,0.9,1,1,/Azande_EvansPrittchard_1933_390-392c_KS,433,ehraf_v2
434,within_group,CentralAfrica,Azande,young nobles,witch-doctors,young nobles,witch-doctors,age_set,group,joking_relationship,non_symmetric,test (joke) on witch-doctors,,"Young nobles, and sometimes commoners of influence also, will test witch-doctors by playing a joke on them. Nobles often play this trick.",0.9,0.9,1,1,/Azande_EvansPrittchard_1937_185_KS,434,ehraf_v2
435,within_group,CentralAfrica,Azande,witch-doctors,witch-doctors,witch-doctors,witch-doctors,caste,caste,joking_relationship,symmetric,collegial joking,,"They chat and joke among themselves about a variety of secular subjects, though the affairs of their profession are also sometimes discussed.",0.8,0.8,1,1,/Azande_EvansPrittchard_1937_206_KS,435,ehraf_v2
436,within_group,CentralAfrica,Azande,witch-doctors,members of their audience,witch-doctors,members of their audience,group,group,joking_relationship,non_symmetric,,makama,Witch-doctors hand it to members of their audience at seances to discover whether they are witches (see p. ). They hold the sheath and present the cone to the people they want to test. Those who fail to pull out the cone are suspected of witchcraft though the test is regarded lightly by every one and rather in the nature of a joke.,0.7,0.7,1,1,/Azande_EvansPrittchard_1937_376_KS,436,ehraf_v2
437,within_group,CentralAfrica,Azande,Zande princes,his favourite wives,Zande princes,his favourite wives,group,kin_role,banter,mixed,bantering conversation,,"One of them told me that Ngere had this kind of bantering conversation with his favourite wives as he sat with them round the evening fire: « That son of mine, you have made a love-bond with him! » « Oh, no master! » « Yes you have, you are merely mocking me. » « That son of mine who is always in the outer court, what is he always waiting for? He has a lover among you. » « Oh master, how you joke with us. »",0.8,0.8,1,1,/Azande_EvansPrittchard_1957_707_KS,437,ehraf_v2
438,within_group,CentralAfrica,Azande,Prince Ngere,his small pages,Prince Ngere,his small pages,person,group,joking_relationship,non_symmetric,playful accusation,,"Prince Ngere calls one of his small pages and says « This boy is your lover! » « Oh no master, if it were indeed thus how would we escape your anger and live? »",0.75,0.75,1,1,/Azande_EvansPrittchard_1957_707_KS,438,ehraf_v2
439,within_group,CentralAfrica,Azande,blood-brothers,blood-brothers,blood-brothers,blood-brothers,kin_role,kin_role,joking_relationship,symmetric,buga,buga,He continues in the language of the joking relationship—what Azande call buga—between blood-brothers: ‘my witchcraft is so active inside me that I might have killed you (I was so longing for a drink of beer); now the rubbing-board oracle would not accuse me (of witchcraft)’.,0.9,0.9,1,1,/Azande_EvansPrittchard_1962_214_KS,439,ehraf_v2
440,within_group,CentralAfrica,Azande,a commoner,a prince,a commoner,a prince,group,group,joking_relationship,non_symmetric,sanza,sanza,"A commoner may speak or act a sanza towards a prince, but unless it is an entirely harmless joking kind of sanza or a highly complimentary one he runs a grave risk in doing so.",0.95,0.95,1,1,/Azande_EvansPrittchard_1962_218_KS,440,ehraf_v2
441,within_group,CentralAfrica,Azande,old commoner favourites of a prince,a prince,old commoner favourites of a prince,a prince,group,group,joking_relationship,non_symmetric,sanza (harmless),sanza mbaro,"A harmless sanza, what Azande call a sanza mbaro, a sanza in fun, is the habit of old commoner favourites of a prince of placing their hands before their mouths when speaking, especially when beginning to speak to him.",0.95,0.95,1,1,/Azande_EvansPrittchard_1962_218_KS,441,ehraf_v2
442,within_group,CentralAfrica,Azande,blood-brother,blood-brother,blood-brother,blood-brother,kin_role,kin_role,joking_relationship,symmetric,joking greeting / warning (sanza),sanza,"In old days also a man’s blood-brother would try to warn him as he entered court that there was trouble brewing for him there and that he had better get away quickly. He did this by greeting his blood-brother in the joking manner of greeting that obtains between blood-brothers, that is, by shaking his hand, and in doing so pressing a finger into the centre of the hand or scraping it with a finger.",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_221_KS,442,ehraf_v2
443,within_group,CentralAfrica,Azande,friend,friend,friend,friend,group,group,joking_relationship,symmetric,eye-signaling teasing (sanza),sanza,"Another wants to make malicious fun of him, so he catches the eye of a friend and by moving his own head round he directs it to the exposure.",0.85,0.85,1,1,/Azande_EvansPrittchard_1962_221_KS,443,ehraf_v2
444,within_group,CentralAfrica,Azande,husband,wife,husband,wife,kin_role,kin_role,joking_relationship,non_symmetric,spousal teasing via sanza,sanza,"A man says about his wife, whom he dislikes, in the presence of other women ‘this stupid dog, I keep it only because of my cough'. ... The inner meaning of the words is ‘this stupid woman [his wife], I keep her only because she hoes my gardens'. Were the wife to understand this she would make a row, but should she do so then or later, someone in the meanwhile having explained it to her, her husband would feign innocence, saying that he was speaking only of his dog and meant no more than he said.",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_221_KS,444,ehraf_v2
445,within_group,CentralAfrica,Azande,blood-brothers,blood-brothers,blood-brothers,blood-brothers,kin_role,kin_role,joking_relationship,symmetric,buga,buga,"With certain persons, particularly with blood-brothers, it is permissible to use a joking language, called buga, in which things may be said which would not be proper if said to other persons.",0.95,0.95,1,1,/Azande_EvansPrittchard_1962_223_KS,445,ehraf_v2
446,within_group,CentralAfrica,Azande,wife,husband,wife,husband,kin_role,kin_role,joking_relationship,non_symmetric,sanza,sanza,"The gbigbita sanza, the bad sanza, is more common. One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, ...",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_223_KS,446,ehraf_v2
447,within_group,CentralAfrica,Azande,commoner,prince,commoner,prince,group,person,joking_relationship,non_symmetric,sanza,sanza,"One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, that of commoner to prince, ...",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_223_KS,447,ehraf_v2
448,within_group,CentralAfrica,Azande,man,his in-laws,man,his in-laws,kin_role,kin_role,joking_relationship,non_symmetric,sanza,sanza,"One uses it because subterfuge is advisable—it is not merely that one wants to score a point and to hurt, one also dares not say openly what one wants to say because of the relationship involved, the wife to husband relationship, that of commoner to prince, that between blood-brothers, that of a man to his in-laws.",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_223_KS,448,ehraf_v2
449,within_group,CentralAfrica,Azande,men who frequent court,men who frequent court,men who frequent court,men who frequent court,group,group,joking_relationship,symmetric,,sanza,"Men who frequent court are there to serve their own interests and in competition to win the favour of their prince, and they are well-known for their skill in getting in sharp, sly little digs at one another in the form of apparently innocuous jokes and ...",0.9,0.9,1,1,/Azande_EvansPrittchard_1962_223_KS,449,ehraf_v2
